id_bigger,id_smaller,num_modif_sites,weight_bigger,weight_smaller,difference,adduct,weight_threshold,difference_threshold_rate
CCMSLIB00005464268,CCMSLIB00005464210,1,166.086,152.07,14.01600000000002,M-H2O+H,2000,0.5
CCMSLIB00005464316,CCMSLIB00005464019,1,204.123,146.118,58.004999999999995,M+H,2000,0.5
CCMSLIB00005463567,CCMSLIB00005464252,1,214.047,198.053,15.994,M+Na,2000,0.5
CCMSLIB00005464504,CCMSLIB00005464344,1,332.075,252.109,79.96599999999998,M+H,2000,0.5
CCMSLIB00005464492,CCMSLIB00005464512,1,402.995,323.029,79.96600000000001,M-H,2000,0.5
CCMSLIB00005464458,CCMSLIB00005463590,1,217.032,175.058,41.97400000000002,M+Na,2000,0.5
CCMSLIB00005464047,CCMSLIB00005464084,1,149.009,133.014,15.994999999999976,M-H,2000,0.5
CCMSLIB00005464393,CCMSLIB00005464370,1,233.027,219.048,13.978999999999985,M+Na,2000,0.5
CCMSLIB00005464458,CCMSLIB00005463583,1,217.032,175.058,41.97400000000002,M+Na,2000,0.5
CCMSLIB00005464470,CCMSLIB00005464149,1,282.035,202.069,79.96600000000004,M+Na,2000,0.5
CCMSLIB00005464495,CCMSLIB00005464512,1,482.961,323.029,159.93200000000002,M-H,2000,0.5
CCMSLIB00005464191,CCMSLIB00005463565,1,181.072,151.061,30.010999999999996,M-H,2000,0.5
CCMSLIB00005464340,CCMSLIB00005464030,1,188.056,131.035,57.021000000000015,M-H,2000,0.5
CCMSLIB00005464324,CCMSLIB00005463653,1,217.068,205.068,12.0,M+Na,2000,0.5
CCMSLIB00005464453,CCMSLIB00005464191,1,259.022,181.072,77.94999999999999,M-H,2000,0.5
CCMSLIB00005464219,CCMSLIB00005463994,1,168.102,138.091,30.010999999999996,M+H,2000,0.5
CCMSLIB00005463964,CCMSLIB00005463927,1,132.066,118.086,13.980000000000004,M+H,2000,0.5
CCMSLIB00005464036,CCMSLIB00005463920,1,132.066,118.086,13.980000000000004,M+H,2000,0.5
CCMSLIB00005464110,CCMSLIB00005463590,1,187.058,175.058,12.0,M+Na,2000,0.5
CCMSLIB00005464037,CCMSLIB00005463922,1,154.047,140.068,13.978999999999985,M+Na,2000,0.5
CCMSLIB00005463653,CCMSLIB00005464033,1,205.068,145.047,60.021000000000015,M+Na,2000,0.5
CCMSLIB00005464512,CCMSLIB00005464337,1,323.029,243.062,79.96699999999998,M-H,2000,0.5
CCMSLIB00005464534,CCMSLIB00005464504,1,348.07,332.075,15.995000000000005,M+H,2000,0.5
CCMSLIB00005464004,CCMSLIB00005463923,1,126.066,112.051,14.015,M+H,2000,0.5
CCMSLIB00005464110,CCMSLIB00005463583,1,187.058,175.058,12.0,M+Na,2000,0.5
CCMSLIB00005464324,CCMSLIB00005463551,1,217.068,203.053,14.015000000000015,M+Na,2000,0.5
CCMSLIB00005464431,CCMSLIB00005463599,1,283.019,203.053,79.96600000000001,M+Na,2000,0.5
CCMSLIB00005464424,CCMSLIB00005463571,1,195.051,151.061,43.98999999999998,M-H,2000,0.5
CCMSLIB00005464192,CCMSLIB00005463920,1,175.119,118.086,57.033,M+H,2000,0.5
CCMSLIB00005464202,CCMSLIB00005464014,1,163.108,147.113,15.995000000000005,M+H,2000,0.5
CCMSLIB00005464204,CCMSLIB00005464109,1,175.123,161.107,14.015999999999991,M+H,2000,0.5
CCMSLIB00005464553,CCMSLIB00005464570,1,481.977,322.045,159.93199999999996,M-H,2000,0.5
CCMSLIB00005464520,CCMSLIB00005464515,1,426.022,346.056,79.96600000000001,M-H,2000,0.5
CCMSLIB00005464355,CCMSLIB00005463579,1,259.022,179.056,79.96599999999998,M-H,2000,0.5
CCMSLIB00005464269,CCMSLIB00005464262,1,184.06,170.081,13.979000000000013,M+H,2000,0.5
CCMSLIB00005464466,CCMSLIB00005464455,1,245.093,203.083,42.00999999999999,M-H,2000,0.5
CCMSLIB00005464441,CCMSLIB00005463653,1,217.032,205.068,11.963999999999999,M+Na,2000,0.5
CCMSLIB00005464255,CCMSLIB00005463565,1,163.061,151.061,12.0,M-H,2000,0.5
CCMSLIB00005464576,CCMSLIB00005464538,1,489.994,330.061,159.93300000000005,M-H,2000,0.5
CCMSLIB00005463642,CCMSLIB00005463591,1,203.053,173.042,30.010999999999996,M+Na,2000,0.5
CCMSLIB00005464556,CCMSLIB00005464501,1,525.901,433.874,92.02699999999993,M+H,2000,0.5
CCMSLIB00005464506,CCMSLIB00005464576,1,505.988,489.994,15.993999999999971,M-H,2000,0.5
CCMSLIB00005463946,CCMSLIB00005463917,1,120.066,106.05,14.016000000000005,M+H,2000,0.5
CCMSLIB00005464523,CCMSLIB00005464538,1,346.056,330.061,15.995000000000005,M-H,2000,0.5
CCMSLIB00005464592,CCMSLIB00005464545,1,448.305,432.31,15.995000000000005,M-H2O+H,2000,0.5
CCMSLIB00005464359,CCMSLIB00005463607,1,195.051,151.061,43.98999999999998,M-H,2000,0.5
CCMSLIB00005464382,CCMSLIB00005464476,1,307.034,227.067,79.96699999999998,M-H,2000,0.5
CCMSLIB00005464458,CCMSLIB00005463582,1,217.032,175.058,41.97400000000002,M+Na,2000,0.5
CCMSLIB00005464005,CCMSLIB00005463924,1,273.107,245.076,28.031000000000034,2M+Na,2000,0.5
CCMSLIB00005464128,CCMSLIB00005464026,1,189.123,147.113,42.00999999999999,M+H,2000,0.5
CCMSLIB00005464340,CCMSLIB00005464080,1,188.056,144.067,43.989000000000004,M-H,2000,0.5
CCMSLIB00005464359,CCMSLIB00005463571,1,195.051,151.061,43.98999999999998,M-H,2000,0.5
CCMSLIB00005464613,CCMSLIB00005464366,1,322.045,306.05,15.995000000000005,M-H,2000,0.5
CCMSLIB00005463991,CCMSLIB00005463983,1,147.03,133.014,14.015999999999991,M-H,2000,0.5
CCMSLIB00005464426,CCMSLIB00005464369,1,243.074,227.079,15.995000000000005,M+Na,2000,0.5
CCMSLIB00005464273,CCMSLIB00005464085,1,173.057,130.051,43.006,M-H,2000,0.5
CCMSLIB00005463653,CCMSLIB00005463590,1,205.068,175.058,30.01000000000002,M+Na,2000,0.5
CCMSLIB00005463961,CCMSLIB00005463994,1,154.086,138.091,15.995000000000005,M+H,2000,0.5
CCMSLIB00005463599,CCMSLIB00005463617,1,203.053,173.042,30.010999999999996,M+Na,2000,0.5
CCMSLIB00005463630,CCMSLIB00005463607,1,181.072,151.061,30.010999999999996,M-H,2000,0.5
CCMSLIB00005464036,CCMSLIB00005463914,1,132.066,116.071,15.995000000000005,M+H,2000,0.5
CCMSLIB00005463653,CCMSLIB00005463583,1,205.068,175.058,30.01000000000002,M+Na,2000,0.5
CCMSLIB00005464559,CCMSLIB00005464528,1,402.011,386.016,15.995000000000005,M-H,2000,0.5
CCMSLIB00005463952,CCMSLIB00005463941,1,154.05,110.06,43.99000000000001,M+H,2000,0.5
CCMSLIB00005464553,CCMSLIB00005464559,1,481.977,402.011,79.96599999999995,M-H,2000,0.5
CCMSLIB00005463551,CCMSLIB00005463617,1,203.053,173.042,30.010999999999996,M+Na,2000,0.5
CCMSLIB00005464156,CCMSLIB00005463999,1,187.109,145.098,42.010999999999996,M-H,2000,0.5
CCMSLIB00005464424,CCMSLIB00005463630,1,195.051,181.072,13.978999999999985,M-H,2000,0.5
CCMSLIB00005464423,CCMSLIB00005463579,1,259.022,179.056,79.96599999999998,M-H,2000,0.5
CCMSLIB00005464419,CCMSLIB00005463552,1,233.128,219.113,14.014999999999986,M+H,2000,0.5
CCMSLIB00005464170,CCMSLIB00005464103,1,184.002,140.012,43.99000000000001,M-H,2000,0.5
CCMSLIB00005463552,CCMSLIB00005464120,1,219.113,177.102,42.010999999999996,M+H,2000,0.5
CCMSLIB00005464362,CCMSLIB00005464392,1,345.046,265.079,79.96699999999998,M+Na,2000,0.5
CCMSLIB00005463630,CCMSLIB00005463571,1,181.072,151.061,30.010999999999996,M-H,2000,0.5
CCMSLIB00005463977,CCMSLIB00005463922,1,154.047,140.068,13.978999999999985,M+Na,2000,0.5
CCMSLIB00005464272,CCMSLIB00005464265,1,148.039,134.06,13.978999999999985,M-2H2O+H,2000,0.5
CCMSLIB00005464018,CCMSLIB00005464084,1,149.009,133.014,15.994999999999976,M-H,2000,0.5
CCMSLIB00005464553,CCMSLIB00005464613,1,481.977,322.045,159.93199999999996,M-H,2000,0.5
CCMSLIB00005464063,CCMSLIB00005463916,1,136.062,121.051,15.01100000000001,M+H,2000,0.5
CCMSLIB00005464134,CCMSLIB00005464019,1,162.112,146.118,15.994,M+H,2000,0.5
CCMSLIB00005464506,CCMSLIB00005464581,1,505.988,426.022,79.96600000000001,M-H,2000,0.5
CCMSLIB00005464199,CCMSLIB00005463624,1,153.019,137.024,15.995000000000005,M-H,2000,0.5
CCMSLIB00005463987,CCMSLIB00005463920,1,132.102,118.086,14.016000000000005,M+H,2000,0.5
CCMSLIB00005464340,CCMSLIB00005464085,1,188.056,130.051,58.005000000000024,M-H,2000,0.5
CCMSLIB00005463623,CCMSLIB00005464033,1,203.053,145.047,58.006,M+Na,2000,0.5
CCMSLIB00005464389,CCMSLIB00005464399,1,284.099,268.104,15.995000000000005,M+H,2000,0.5
CCMSLIB00005464435,CCMSLIB00005463607,1,193.035,151.061,41.97399999999999,M-H,2000,0.5
CCMSLIB00005463973,CCMSLIB00005463922,1,152.032,140.068,11.963999999999999,M+Na,2000,0.5
CCMSLIB00005463598,CCMSLIB00005463651,1,181.049,167.07,13.979000000000013,M-H2O+H,2000,0.5
CCMSLIB00005464011,CCMSLIB00005464008,1,138.055,124.039,14.016000000000005,M+H,2000,0.5
CCMSLIB00005464332,CCMSLIB00005463571,1,193.035,151.061,41.97399999999999,M-H,2000,0.5
CCMSLIB00005464433,CCMSLIB00005464424,1,209.03,195.051,13.979000000000013,M-H,2000,0.5
CCMSLIB00005464293,CCMSLIB00005464211,1,206.079,192.063,14.01600000000002,M+Na,2000,0.5
CCMSLIB00005464431,CCMSLIB00005463642,1,283.019,203.053,79.96600000000001,M+Na,2000,0.5
CCMSLIB00005464435,CCMSLIB00005463571,1,193.035,151.061,41.97399999999999,M-H,2000,0.5
CCMSLIB00005463587,CCMSLIB00005463591,1,203.053,173.042,30.010999999999996,M+Na,2000,0.5
CCMSLIB00005464359,CCMSLIB00005463630,1,195.051,181.072,13.978999999999985,M-H,2000,0.5
CCMSLIB00005464221,CCMSLIB00005464201,1,182.081,166.086,15.994999999999976,M+H,2000,0.5
CCMSLIB00005463567,CCMSLIB00005464241,1,214.047,198.053,15.994,M+Na,2000,0.5
CCMSLIB00005463563,CCMSLIB00005463613,1,204.102,190.086,14.015999999999991,M+H,2000,0.5
CCMSLIB00005464431,CCMSLIB00005463619,1,283.019,203.053,79.96600000000001,M+Na,2000,0.5
CCMSLIB00005464048,CCMSLIB00005464059,1,152.035,137.024,15.010999999999996,M-H,2000,0.5
CCMSLIB00005464441,CCMSLIB00005464111,1,217.032,205.068,11.963999999999999,M+Na,2000,0.5
CCMSLIB00005464266,CCMSLIB00005464046,1,191.994,148.004,43.99000000000001,M+Na,2000,0.5
CCMSLIB00005463553,CCMSLIB00005464231,1,241.095,199.084,42.010999999999996,M+Na,2000,0.5
CCMSLIB00005464602,CCMSLIB00005464525,1,579.027,565.048,13.979000000000042,M-H,2000,0.5
CCMSLIB00005463620,CCMSLIB00005463582,1,203.053,175.058,27.995000000000005,M+Na,2000,0.5
CCMSLIB00005463907,CCMSLIB00005463885,1,777.694,651.797,125.89699999999993,M+H,2000,0.5
CCMSLIB00005464111,CCMSLIB00005464033,1,205.068,145.047,60.021000000000015,M+Na,2000,0.5
CCMSLIB00005463599,CCMSLIB00005464110,1,203.053,187.058,15.995000000000005,M+Na,2000,0.5
CCMSLIB00005464173,CCMSLIB00005463580,1,179.035,123.045,55.989999999999995,M-H,2000,0.5
CCMSLIB00005464458,CCMSLIB00005463617,1,217.032,173.042,43.99000000000001,M+Na,2000,0.5
CCMSLIB00005464570,CCMSLIB00005464366,1,322.045,306.05,15.995000000000005,M-H,2000,0.5
CCMSLIB00005464424,CCMSLIB00005464191,1,195.051,181.072,13.978999999999985,M-H,2000,0.5
CCMSLIB00005464458,CCMSLIB00005463599,1,217.032,203.053,13.979000000000013,M+Na,2000,0.5
CCMSLIB00005463551,CCMSLIB00005464110,1,203.053,187.058,15.995000000000005,M+Na,2000,0.5
CCMSLIB00005463968,CCMSLIB00005463927,1,133.097,118.086,15.01100000000001,M+H,2000,0.5
CCMSLIB00005464273,CCMSLIB00005463998,1,173.057,131.046,42.010999999999996,M-H,2000,0.5
CCMSLIB00005464565,CCMSLIB00005464550,1,422.324,366.261,56.06299999999999,M+Na,2000,0.5
CCMSLIB00005464388,CCMSLIB00005463951,1,203.223,146.165,57.05800000000002,M+H,2000,0.5
CCMSLIB00005464363,CCMSLIB00005464382,1,321.049,307.034,14.014999999999986,M-H,2000,0.5
CCMSLIB00005464362,CCMSLIB00005464377,1,345.046,331.03,14.01600000000002,M+Na,2000,0.5
CCMSLIB00005464306,CCMSLIB00005463653,1,219.048,205.068,13.97999999999999,M+Na,2000,0.5
CCMSLIB00005464131,CCMSLIB00005463922,1,180.063,140.068,39.994999999999976,M+Na,2000,0.5
CCMSLIB00005463598,CCMSLIB00005464124,1,181.049,167.033,14.01600000000002,M-H2O+H,2000,0.5
CCMSLIB00005464110,CCMSLIB00005463617,1,187.058,173.042,14.015999999999991,M+Na,2000,0.5
CCMSLIB00005464233,CCMSLIB00005463982,1,197.053,155.043,42.00999999999999,M+Na,2000,0.5
CCMSLIB00005464271,CCMSLIB00005464264,1,206.042,192.063,13.979000000000013,M+Na,2000,0.5
CCMSLIB00005463993,CCMSLIB00005464030,1,145.051,131.035,14.015999999999991,M-H,2000,0.5
CCMSLIB00005464327,CCMSLIB00005464109,1,204.113,161.107,43.006,M+H,2000,0.5
CCMSLIB00005463639,CCMSLIB00005463562,1,159.03,145.051,13.979000000000013,M-H,2000,0.5
CCMSLIB00005464014,CCMSLIB00005463920,1,147.113,118.086,29.027,M+H,2000,0.5
CCMSLIB00005463977,CCMSLIB00005463929,1,154.047,140.068,13.978999999999985,M+Na,2000,0.5
CCMSLIB00005464332,CCMSLIB00005463630,1,193.035,181.072,11.962999999999994,M-H,2000,0.5
CCMSLIB00005464585,CCMSLIB00005463892,1,747.408,715.418,31.99000000000001,2M+Na,2000,0.5
CCMSLIB00005463885,CCMSLIB00005464556,1,651.797,525.901,125.89600000000007,M+H,2000,0.5
CCMSLIB00005464366,CCMSLIB00005464428,1,306.05,226.083,79.96700000000001,M-H,2000,0.5
CCMSLIB00005463576,CCMSLIB00005463617,1,203.053,173.042,30.010999999999996,M+Na,2000,0.5
CCMSLIB00005464469,CCMSLIB00005464234,1,260.053,180.087,79.96600000000001,M+H,2000,0.5
CCMSLIB00005464425,CCMSLIB00005464230,1,221.092,177.102,43.99000000000001,M+H,2000,0.5
CCMSLIB00005464066,CCMSLIB00005463916,1,137.046,121.051,15.99499999999999,M+H,2000,0.5
CCMSLIB00005464435,CCMSLIB00005463630,1,193.035,181.072,11.962999999999994,M-H,2000,0.5
CCMSLIB00005464456,CCMSLIB00005464146,1,260.043,180.087,79.95600000000002,M+H,2000,0.5
CCMSLIB00005464158,CCMSLIB00005464290,1,180.067,164.072,15.995000000000005,M-H,2000,0.5
CCMSLIB00005464458,CCMSLIB00005463551,1,217.032,203.053,13.979000000000013,M+Na,2000,0.5
CCMSLIB00005464528,CCMSLIB00005464366,1,386.016,306.05,79.96600000000001,M-H,2000,0.5
CCMSLIB00005464359,CCMSLIB00005464191,1,195.051,181.072,13.978999999999985,M-H,2000,0.5
CCMSLIB00005464199,CCMSLIB00005464059,1,153.019,137.024,15.995000000000005,M-H,2000,0.5
CCMSLIB00005463973,CCMSLIB00005463929,1,152.032,140.068,11.963999999999999,M+Na,2000,0.5
CCMSLIB00005464111,CCMSLIB00005463590,1,205.068,175.058,30.01000000000002,M+Na,2000,0.5
CCMSLIB00005464515,CCMSLIB00005464395,1,346.056,266.089,79.96699999999998,M-H,2000,0.5
CCMSLIB00005464508,CCMSLIB00005464490,1,427.006,347.04,79.96599999999995,M-H,2000,0.5
CCMSLIB00005464482,CCMSLIB00005463579,1,259.022,179.056,79.96599999999998,M-H,2000,0.5
CCMSLIB00005463544,CCMSLIB00005463607,1,179.056,151.061,27.995000000000005,M-H,2000,0.5
CCMSLIB00005464175,CCMSLIB00005463916,1,167.039,121.051,45.987999999999985,M+H,2000,0.5
CCMSLIB00005463563,CCMSLIB00005464251,1,204.102,176.071,28.031000000000006,M+H,2000,0.5
CCMSLIB00005464241,CCMSLIB00005464119,1,198.053,184.073,13.97999999999999,M+Na,2000,0.5
CCMSLIB00005464111,CCMSLIB00005463583,1,205.068,175.058,30.01000000000002,M+Na,2000,0.5
CCMSLIB00005464351,CCMSLIB00005464138,1,227.114,156.077,71.037,M+H,2000,0.5
CCMSLIB00005464487,CCMSLIB00005464306,1,299.014,219.048,79.96600000000001,M+Na,2000,0.5
CCMSLIB00005464426,CCMSLIB00005464121,1,243.074,199.084,43.99000000000001,M+Na,2000,0.5
CCMSLIB00005464222,CCMSLIB00005463617,1,187.058,173.042,14.015999999999991,M+Na,2000,0.5
CCMSLIB00005464489,CCMSLIB00005464389,1,364.065,284.099,79.96600000000001,M+H,2000,0.5
CCMSLIB00005464584,CCMSLIB00005463890,1,363.217,347.222,15.995000000000005,M+H,2000,0.5
CCMSLIB00005463903,CCMSLIB00005463874,1,383.183,369.204,13.978999999999985,M+Na,2000,0.5
CCMSLIB00005464414,CCMSLIB00005464149,1,244.079,202.069,42.01000000000002,M+Na,2000,0.5
CCMSLIB00005464000,CCMSLIB00005464016,1,169.047,155.031,14.015999999999991,M+Na,2000,0.5
CCMSLIB00005464087,CCMSLIB00005464088,1,148.06,134.045,14.015000000000015,M+H,2000,0.5
CCMSLIB00005464315,CCMSLIB00005464345,1,290.086,274.091,15.995000000000005,M+Na,2000,0.5
CCMSLIB00005464511,CCMSLIB00005464365,1,390.17,306.077,84.09300000000002,M-H,2000,0.5
CCMSLIB00005464519,CCMSLIB00005464596,1,521.983,362.051,159.93199999999996,M-H,2000,0.5
CCMSLIB00005464596,CCMSLIB00005464515,1,362.051,346.056,15.995000000000005,M-H,2000,0.5
CCMSLIB00005464605,CCMSLIB00005464598,1,689.211,527.158,162.053,M+Na,2000,0.5
CCMSLIB00005463656,CCMSLIB00005463550,1,167.035,151.04,15.995000000000005,M-H,2000,0.5
CCMSLIB00005463570,CCMSLIB00005464246,1,201.037,187.058,13.979000000000013,M+Na,2000,0.5
CCMSLIB00005464467,CCMSLIB00005464455,1,219.078,203.083,15.995000000000005,M-H,2000,0.5
CCMSLIB00005464595,CCMSLIB00005464508,1,442.017,427.006,15.011000000000024,M-H,2000,0.5
CCMSLIB00005463604,CCMSLIB00005464033,1,205.068,145.047,60.021000000000015,M+Na,2000,0.5
CCMSLIB00005463559,CCMSLIB00005463956,1,174.112,132.102,42.00999999999999,M+H,2000,0.5
CCMSLIB00005464598,CCMSLIB00005463603,1,527.158,365.105,162.053,M+Na,2000,0.5
CCMSLIB00005464602,CCMSLIB00005464558,1,579.027,565.048,13.979000000000042,M-H,2000,0.5
CCMSLIB00005464156,CCMSLIB00005463974,1,187.109,145.098,42.010999999999996,M-H,2000,0.5
CCMSLIB00005464156,CCMSLIB00005464085,1,187.109,130.051,57.05800000000002,M-H,2000,0.5
CCMSLIB00005464297,CCMSLIB00005463928,1,144.065,100.075,43.989999999999995,M-H2O+H,2000,0.5
CCMSLIB00005464405,CCMSLIB00005464386,1,330.046,250.08,79.96599999999998,M+Na,2000,0.5
CCMSLIB00005464448,CCMSLIB00005464201,1,208.097,166.086,42.010999999999996,M+H,2000,0.5
CCMSLIB00005463629,CCMSLIB00005464030,1,145.014,131.035,13.979000000000013,M-H,2000,0.5
CCMSLIB00005464216,CCMSLIB00005463607,1,163.061,151.061,12.0,M-H,2000,0.5
CCMSLIB00005464237,CCMSLIB00005464030,1,160.062,131.035,29.027000000000015,M-H,2000,0.5
CCMSLIB00005463563,CCMSLIB00005464240,1,204.102,176.071,28.031000000000006,M+H,2000,0.5
CCMSLIB00005464332,CCMSLIB00005464191,1,193.035,181.072,11.962999999999994,M-H,2000,0.5
CCMSLIB00005464298,CCMSLIB00005463936,1,156.077,112.087,43.989999999999995,M+H,2000,0.5
CCMSLIB00005463579,CCMSLIB00005464255,1,179.056,163.061,15.995000000000005,M-H,2000,0.5
CCMSLIB00005464564,CCMSLIB00005464549,1,400.342,344.28,56.06200000000001,M+H,2000,0.5
CCMSLIB00005464436,CCMSLIB00005464382,1,321.049,307.034,14.014999999999986,M-H,2000,0.5
CCMSLIB00005464599,CCMSLIB00005464325,1,324.059,244.093,79.96600000000004,M+H,2000,0.5
CCMSLIB00005464131,CCMSLIB00005463929,1,180.063,140.068,39.994999999999976,M+Na,2000,0.5
CCMSLIB00005464534,CCMSLIB00005464314,1,348.07,268.104,79.96600000000001,M+H,2000,0.5
CCMSLIB00005464435,CCMSLIB00005464191,1,193.035,181.072,11.962999999999994,M-H,2000,0.5
CCMSLIB00005463599,CCMSLIB00005464222,1,203.053,187.058,15.995000000000005,M+Na,2000,0.5
CCMSLIB00005464169,CCMSLIB00005464060,1,174.041,132.03,42.010999999999996,M-H,2000,0.5
CCMSLIB00005464302,CCMSLIB00005464173,1,193.051,179.035,14.015999999999991,M-H,2000,0.5
CCMSLIB00005464512,CCMSLIB00005464382,1,323.029,307.034,15.995000000000005,M-H,2000,0.5
CCMSLIB00005464177,CCMSLIB00005464117,1,175.087,162.091,12.995999999999981,M+H,2000,0.5
CCMSLIB00005464561,CCMSLIB00005463543,1,503.162,341.109,162.053,M-H,2000,0.5
CCMSLIB00005464350,CCMSLIB00005464260,1,190.054,176.039,14.015000000000015,M-H,2000,0.5
CCMSLIB00005463953,CCMSLIB00005463916,1,136.062,121.051,15.01100000000001,M+H,2000,0.5
CCMSLIB00005464523,CCMSLIB00005464371,1,346.056,266.089,79.96699999999998,M-H,2000,0.5
CCMSLIB00005464535,CCMSLIB00005464315,1,370.052,290.086,79.96600000000001,M+Na,2000,0.5
CCMSLIB00005464182,CCMSLIB00005464088,1,176.055,134.045,42.01000000000002,M+H,2000,0.5
CCMSLIB00005463636,CCMSLIB00005464249,1,201.113,187.134,13.979000000000013,M-H,2000,0.5
CCMSLIB00005464306,CCMSLIB00005464111,1,219.048,205.068,13.97999999999999,M+Na,2000,0.5
CCMSLIB00005463551,CCMSLIB00005464222,1,203.053,187.058,15.995000000000005,M+Na,2000,0.5
CCMSLIB00005464458,CCMSLIB00005463619,1,217.032,203.053,13.979000000000013,M+Na,2000,0.5
CCMSLIB00005464090,CCMSLIB00005463929,1,152.032,140.068,11.963999999999999,M+Na,2000,0.5
CCMSLIB00005464111,CCMSLIB00005463582,1,205.068,175.058,30.01000000000002,M+Na,2000,0.5
CCMSLIB00005464602,CCMSLIB00005464492,1,579.027,402.995,176.03200000000004,M-H,2000,0.5
CCMSLIB00005464214,CCMSLIB00005464104,1,176.067,134.045,42.02200000000002,M+H,2000,0.5
CCMSLIB00005464095,CCMSLIB00005464042,1,146.046,131.035,15.010999999999996,M-H,2000,0.5
CCMSLIB00005464350,CCMSLIB00005464045,1,190.054,148.044,42.00999999999999,M-H,2000,0.5
CCMSLIB00005464115,CCMSLIB00005463979,1,162.076,148.06,14.015999999999991,M+H,2000,0.5
CCMSLIB00005464097,CCMSLIB00005463936,1,126.103,112.087,14.015999999999991,M+H,2000,0.5
CCMSLIB00005464040,CCMSLIB00005464053,1,150.058,136.043,14.014999999999986,M+H,2000,0.5
CCMSLIB00005463566,CCMSLIB00005464251,1,192.066,176.071,15.995000000000005,M+H,2000,0.5
CCMSLIB00005464312,CCMSLIB00005464397,1,298.097,252.109,45.98799999999997,M+H,2000,0.5
CCMSLIB00005464417,CCMSLIB00005464227,1,177.054,163.038,14.015999999999991,M-H2O+H,2000,0.5
CCMSLIB00005464355,CCMSLIB00005463630,1,259.022,181.072,77.94999999999999,M-H,2000,0.5
CCMSLIB00005464418,CCMSLIB00005464221,1,227.066,182.081,44.985000000000014,M+H,2000,0.5
CCMSLIB00005464353,CCMSLIB00005464236,1,244.079,202.069,42.01000000000002,M+Na,2000,0.5
CCMSLIB00005464404,CCMSLIB00005464384,1,308.064,228.098,79.96600000000001,M+H,2000,0.5
CCMSLIB00005464568,CCMSLIB00005464402,1,349.054,269.088,79.96599999999995,M+H,2000,0.5
CCMSLIB00005463604,CCMSLIB00005463590,1,205.068,175.058,30.01000000000002,M+Na,2000,0.5
CCMSLIB00005464323,CCMSLIB00005464162,1,225.099,154.062,71.03699999999998,M-H,2000,0.5
CCMSLIB00005464563,CCMSLIB00005464568,1,365.049,349.054,15.995000000000005,M+H,2000,0.5
CCMSLIB00005464375,CCMSLIB00005464236,1,244.079,202.069,42.01000000000002,M+Na,2000,0.5
CCMSLIB00005463613,CCMSLIB00005464240,1,190.086,176.071,14.015000000000015,M+H,2000,0.5
CCMSLIB00005464469,CCMSLIB00005464275,1,260.053,180.087,79.96600000000001,M+H,2000,0.5
CCMSLIB00005463604,CCMSLIB00005463583,1,205.068,175.058,30.01000000000002,M+Na,2000,0.5
CCMSLIB00005463619,CCMSLIB00005463617,1,203.053,173.042,30.010999999999996,M+Na,2000,0.5
CCMSLIB00005464458,CCMSLIB00005463591,1,217.032,173.042,43.99000000000001,M+Na,2000,0.5
CCMSLIB00005464367,CCMSLIB00005464394,1,210.077,196.062,14.014999999999986,M-H,2000,0.5
CCMSLIB00005463971,CCMSLIB00005464060,1,146.046,132.03,14.015999999999991,M-H,2000,0.5
CCMSLIB00005464089,CCMSLIB00005463920,1,130.05,118.086,11.964000000000013,M+H,2000,0.5
CCMSLIB00005464390,CCMSLIB00005464400,1,306.081,290.086,15.995000000000005,M+Na,2000,0.5
CCMSLIB00005464331,CCMSLIB00005464415,1,267.059,251.064,15.995000000000033,M+Na,2000,0.5
CCMSLIB00005464490,CCMSLIB00005464336,1,347.04,267.073,79.96700000000004,M-H,2000,0.5
CCMSLIB00005464609,CCMSLIB00005464398,1,407.111,274.091,133.01999999999998,M+Na,2000,0.5
CCMSLIB00005464251,CCMSLIB00005464117,1,176.071,162.091,13.97999999999999,M+H,2000,0.5
CCMSLIB00005463566,CCMSLIB00005464240,1,192.066,176.071,15.995000000000005,M+H,2000,0.5
CCMSLIB00005464180,CCMSLIB00005463993,1,161.046,145.051,15.995000000000005,M-H,2000,0.5
CCMSLIB00005464424,CCMSLIB00005463607,1,195.051,151.061,43.98999999999998,M-H,2000,0.5
CCMSLIB00005464457,CCMSLIB00005464276,1,242.032,162.076,79.95600000000002,M-H2O+H,2000,0.5
CCMSLIB00005464370,CCMSLIB00005463653,1,219.048,205.068,13.97999999999999,M+Na,2000,0.5
CCMSLIB00005464136,CCMSLIB00005463986,1,168.067,152.072,15.995000000000005,M-H,2000,0.5
CCMSLIB00005464611,CCMSLIB00005464595,1,604.07,442.017,162.05300000000005,M-H,2000,0.5
CCMSLIB00005464068,CCMSLIB00005463624,1,152.035,137.024,15.010999999999996,M-H,2000,0.5
CCMSLIB00005464324,CCMSLIB00005463604,1,217.068,205.068,12.0,M+Na,2000,0.5
CCMSLIB00005464326,CCMSLIB00005464386,1,266.075,250.08,15.994999999999976,M+Na,2000,0.5
CCMSLIB00005464423,CCMSLIB00005463630,1,259.022,181.072,77.94999999999999,M-H,2000,0.5
CCMSLIB00005464563,CCMSLIB00005464514,1,365.049,349.054,15.995000000000005,M+H,2000,0.5
CCMSLIB00005464306,CCMSLIB00005463590,1,219.048,175.058,43.99000000000001,M+Na,2000,0.5
CCMSLIB00005464287,CCMSLIB00005464122,1,182.046,168.067,13.978999999999985,M-H,2000,0.5
