id_known,id_unknown,is_max,proximity,average_dist_normalized,sorted_rank,num_atoms,cosine,matched,shifted,unshifted,weight,delta,peaks,shifted_annotated_ratio,shifted_annotated_ambiguity,shifted_annotated_entropy,sirius_availability
CCMSLIB00005722743,CCMSLIB00005723167,0.0,0.2,0.0442959829101446,0.391304347826087,24,0.9866198955326376,8,7,1,323.091,14.01600000000002,10,1.0,6.857142857142857,1.2929901169649336,False
CCMSLIB00000848432,CCMSLIB00000847704,0.0,0.7333333333333333,0.7628166152054198,0.6666666666666666,22,0.7417968693118324,6,5,1,300.123,30.00999999999999,7,0.8,2.0,1.000236550177563,True
CCMSLIB00000846916,CCMSLIB00000849097,0.0909090909090909,1.0,0.7506356357984044,0.8,31,0.9945152834962336,5,0,5,433.113,132.04199999999997,8,0.0,-1.0,0.0,True
CCMSLIB00000855849,CCMSLIB00000852830,0.0,0.6,0.4952129050569474,0.15,21,0.1915111523929833,40,8,32,293.211,55.99000000000001,99,0.625,4.6,0.1289568819153306,True
CCMSLIB00000846944,CCMSLIB00000848126,0.0,0.8666666666666667,0.4950789771220266,0.15,41,0.9998164414591734,4,0,4,581.15,30.00999999999999,4,0.0,-1.0,0.0,True
CCMSLIB00000846995,CCMSLIB00000846563,0.0,0.9130434782608696,0.9054704954509476,0.9423076923076924,53,0.5509401650257352,32,16,16,765.426,30.010999999999967,36,1.0,20.75,2.4065022989562177,True
CCMSLIB00000852196,CCMSLIB00000852853,0.1666666666666666,1.0,0.8887071500311065,0.9444444444444444,37,0.4447553124773759,22,5,17,519.332,15.995000000000005,97,0.4,2.5,0.0088973836840756,True
CCMSLIB00000847487,CCMSLIB00000848732,0.0714285714285714,1.0,0.445355466531038,0.6521739130434783,24,0.0756089793843191,3,0,3,341.086,14.015999999999964,18,0.0,-1.0,0.0,True
CCMSLIB00000847638,CCMSLIB00000847090,0.5,1.0,0.5,1.0,18,0.0728088834369413,7,0,7,247.06,88.05200000000002,16,0.0,-1.0,0.0,True
CCMSLIB00000847155,CCMSLIB00000846823,0.0,0.8666666666666667,0.763623752328256,0.7666666666666667,31,0.5397529536646297,6,3,3,435.128,15.995000000000005,12,0.6666666666666666,1.5,0.0577622650466621,True
CCMSLIB00000846083,CCMSLIB00000848573,0.0526315789473684,1.0,0.6281583253741039,0.5897435897435898,40,0.9997755849580118,2,2,0,563.176,15.995000000000005,3,0.5,1.0,0.0,True
CCMSLIB00005721819,CCMSLIB00000845216,0.0,0.0,0.1967565262830506,0.1363636363636363,23,0.5154513109492405,27,4,23,323.149,58.005,82,0.75,15.0,0.0578422802544064,False
CCMSLIB00000848249,CCMSLIB00000848525,0.0,0.3333333333333333,0.1931285618058813,0.15625,33,0.9968803293740036,5,0,5,465.102,162.053,12,0.0,-1.0,0.0,True
CCMSLIB00005721717,CCMSLIB00000845854,0.0,0.3846153846153846,0.1812270836717663,0.84375,33,0.987440587308686,5,0,5,463.125,132.03999999999996,12,0.0,-1.0,0.0,False
CCMSLIB00000854975,CCMSLIB00000846158,0.1428571428571428,1.0,0.863778263066863,0.8695652173913043,24,0.9589207705186292,5,5,0,339.107,15.994999999999948,5,0.8,2.0,0.3243720864865315,True
CCMSLIB00000847842,CCMSLIB00000846155,0.0,0.3333333333333333,0.0433861701705329,0.0,32,0.9978140454567888,2,0,2,449.108,146.05699999999996,6,0.0,-1.0,0.0,True
CCMSLIB00000845303,CCMSLIB00000848486,0.0,0.5,0.3101785962510878,0.625,33,0.9904792036747722,9,2,7,465.102,14.01600000000002,11,1.0,50.5,1.2448340502573905,True
CCMSLIB00000853643,CCMSLIB00000852853,0.0,0.8333333333333334,0.7972887474192321,0.3888888888888889,37,0.7523692102019539,27,9,18,521.311,14.015999999999964,99,0.3333333333333333,5.0,0.0343082266036138,True
CCMSLIB00000847437,CCMSLIB00000847486,0.0,0.8333333333333334,0.8226421240761791,0.7272727272727273,23,0.9689882042011674,35,28,7,315.086,15.995000000000005,42,0.75,7.523809523809524,0.7621559686870152,True
CCMSLIB00000848325,CCMSLIB00005721756,0.1666666666666666,1.0,0.8207283146394575,0.9090909090909092,34,0.6868771000542815,48,17,31,479.336,15.995000000000005,98,0.6470588235294118,7.818181818181818,0.1336062651613273,True
CCMSLIB00005721457,CCMSLIB00000845561,0.0,0.1111111111111111,0.0561006063502911,0.0,25,0.9151420316569264,36,24,12,355.104,42.045000000000016,68,0.9583333333333334,30.65217391304348,0.9531651082958844,False
CCMSLIB00000848337,CCMSLIB00005721643,0.0,0.6,0.51051782973477,0.3,21,0.7214549612573947,7,5,2,291.086,15.99599999999998,42,0.6,6.0,0.276279985338592,True
CCMSLIB00000847409,CCMSLIB00000852272,0.0,0.5,0.3058558697758486,0.75,29,0.1723006715130338,38,6,32,405.191,12.0,90,0.5,7.0,0.1946156698198751,True
CCMSLIB00000848585,CCMSLIB00000852883,0.0,0.6666666666666666,0.556527796909471,0.4230769230769231,27,0.6864924278682782,19,12,7,389.144,15.995000000000005,50,0.5,4.333333333333333,0.3372561396181667,True
CCMSLIB00005722357,CCMSLIB00005722791,1.0,1.0,0.4357039179801626,1.0,44,0.1066712099291584,10,1,9,639.358,142.06400000000008,31,1.0,21.0,0.1709370252915123,False
CCMSLIB00000845303,CCMSLIB00000845058,0.0,0.5833333333333334,0.5989286220556913,0.53125,33,0.9810098584793208,9,0,9,465.102,13.980000000000018,11,0.0,-1.0,0.0,True
CCMSLIB00000851195,CCMSLIB00000855777,0.0,0.4444444444444444,0.2912822260007043,0.5555555555555556,19,0.4412833470350968,8,5,3,262.144,13.978999999999983,50,0.4,3.0,0.0451674920145494,True
CCMSLIB00000854301,CCMSLIB00000849933,0.0,0.5,0.3778057327579514,0.6296296296296297,28,0.6699456417053181,7,0,7,391.139,140.04700000000005,89,0.0,-1.0,0.0,True
CCMSLIB00000847638,CCMSLIB00000848691,0.5,1.0,0.3557174134131954,1.0,18,0.2908769158873133,12,0,12,247.06,54.047000000000025,16,0.0,-1.0,0.0,True
CCMSLIB00000847613,CCMSLIB00000847772,0.0,0.9230769230769232,0.8179184902640007,0.935483870967742,32,0.9983168533033664,10,7,3,449.108,14.014999999999986,11,0.7142857142857143,10.0,0.7614211836425402,True
CCMSLIB00000848420,CCMSLIB00000847379,0.0,0.6666666666666666,0.5065290295544748,0.7647058823529411,18,0.1838798686691686,9,3,6,239.07,30.011000000000024,19,0.3333333333333333,1.0,0.0,True
CCMSLIB00000848128,CCMSLIB00000848899,0.0,0.5555555555555556,0.6609399330745905,0.5625,17,0.0812036927459136,9,3,6,223.075,30.011000000000024,12,0.6666666666666666,1.0,0.0,True
CCMSLIB00000846091,CCMSLIB00000845489,0.0,0.1111111111111111,0.0912776295093599,0.2666666666666666,16,0.4508364111849472,30,10,20,223.096,30.011,95,0.8,5.5,0.1785686230621385,True
CCMSLIB00000846413,CCMSLIB00000845056,0.0,0.8333333333333334,0.7552600147040156,0.8275862068965517,30,0.9993593862810278,7,0,7,419.097,30.011000000000024,9,0.0,-1.0,0.0,True
CCMSLIB00000848751,CCMSLIB00000848278,0.0,0.5,0.565064170887018,0.967741935483871,32,0.9858923809535056,7,0,7,449.108,146.05699999999996,13,0.0,-1.0,0.0,True
CCMSLIB00000845054,CCMSLIB00000847090,0.0,0.6666666666666666,0.587864628708711,0.7142857142857143,22,0.5446768910353198,19,12,7,305.102,30.010000000000048,47,0.6666666666666666,2.625,0.0777943999126395,True
CCMSLIB00000855712,CCMSLIB00000851772,0.0,0.8181818181818182,0.739550778944056,0.6296296296296297,28,0.9662010008064746,9,1,8,386.233,15.995000000000005,11,0.0,-1.0,0.0,True
CCMSLIB00000848655,CCMSLIB00005721451,0.0,0.4166666666666667,0.3603387537854977,0.5333333333333333,31,0.6699426949172727,3,0,3,433.113,168.00600000000003,10,0.0,-1.0,0.0,True
CCMSLIB00000848637,CCMSLIB00000847032,0.05,1.0,0.646299183408315,0.7096774193548387,32,0.9998010961452856,3,2,1,447.092,15.995000000000005,3,0.5,1.0,0.0,True
CCMSLIB00000849013,CCMSLIB00000849064,0.3333333333333333,1.0,0.6851086404651423,0.9047619047619048,22,0.0008735889666252,3,0,3,301.07,148.038,28,0.0,-1.0,0.0,True
CCMSLIB00005723151,CCMSLIB00005723051,0.0,0.8125,0.7044338745792853,0.8928571428571429,29,0.8682769063803177,14,0,14,405.191,14.01600000000002,18,0.0,-1.0,0.0,False
CCMSLIB00000848136,CCMSLIB00000848477,0.0,0.75,0.5069308174822659,0.45,41,0.996181081176427,22,11,11,581.186,14.015999999999964,24,0.8181818181818182,17.444444444444443,0.7141882146285217,True
CCMSLIB00005722732,CCMSLIB00005722278,0.0,0.9230769230769232,0.8259818914063544,0.7586206896551724,30,0.9268372582472048,17,12,5,409.201,15.993999999999971,30,0.8333333333333334,4.9,0.5859749320891561,False
CCMSLIB00000850982,CCMSLIB00000855079,0.0,0.5333333333333333,0.4901795478223324,0.6206896551724138,30,0.9717213357578764,28,4,24,418.15,14.015000000000043,71,0.75,4.666666666666667,0.0888870217307859,True
CCMSLIB00000853006,CCMSLIB00000855408,0.0,0.6086956521739131,0.5728556762563283,0.2615384615384615,66,0.8855205510731969,63,2,61,943.526,13.979000000000042,100,1.0,9.5,0.1089409232944694,True
CCMSLIB00000855103,CCMSLIB00000851176,0.0,0.75,0.576625625889566,0.6086956521739131,24,0.4079817151105275,29,6,23,333.206,15.995000000000005,63,1.0,9.666666666666666,0.104359986797224,True
CCMSLIB00000848562,CCMSLIB00000848735,0.0909090909090909,1.0,0.7332018764157001,0.8,21,0.0493511288893587,3,0,3,285.112,102.06799999999998,21,0.0,-1.0,0.0,True
CCMSLIB00000851819,CCMSLIB00000852758,0.0,0.7333333333333333,0.619409074694843,0.5925925925925926,28,0.9733357540874316,5,0,5,373.166,68.06299999999999,7,0.0,-1.0,0.0,True
CCMSLIB00000846113,CCMSLIB00000847457,0.1111111111111111,1.0,0.6098227517823449,1.0,20,0.9977199132992888,4,0,4,277.18,56.06200000000001,6,0.0,-1.0,0.0,True
CCMSLIB00000848276,CCMSLIB00000847501,0.0,0.1,0.2136633141045363,0.8846153846153846,27,0.9012687951385504,21,4,17,417.014,14.014999999999986,49,0.75,19.0,0.1983367595197355,True
CCMSLIB00000849040,CCMSLIB00000845214,0.0,0.6666666666666666,0.7372444480586087,0.8,31,0.4501707637679247,43,18,25,435.128,15.995000000000005,77,0.8333333333333334,16.8,0.302334415681109,True
CCMSLIB00000846155,CCMSLIB00000846809,0.0,0.5294117647058824,0.4221500348260007,0.3414634146341463,42,0.9479593586612184,5,1,4,595.165,146.058,5,1.0,85.0,0.5760629248447297,True
CCMSLIB00005721422,CCMSLIB00005721170,0.2,1.0,0.6280202779464852,1.0,21,0.0246545301482319,3,0,3,295.192,56.06299999999999,13,0.0,-1.0,0.0,False
CCMSLIB00000845303,CCMSLIB00000846043,0.0,0.5833333333333334,0.4454672558484375,0.84375,33,0.9959856992239864,9,0,9,465.102,86.00099999999998,11,0.0,-1.0,0.0,True
CCMSLIB00000848337,CCMSLIB00000848636,0.0,0.1,0.0664347937845864,0.6,21,0.8884003876204354,20,0,20,291.086,132.04199999999997,42,0.0,-1.0,0.0,True
CCMSLIB00000851059,CCMSLIB00005721803,0.0,0.6666666666666666,0.3898551249694441,0.7083333333333334,25,0.7613372863926515,5,0,5,343.118,14.01600000000002,100,0.0,-1.0,0.0,True
CCMSLIB00000848404,CCMSLIB00000846401,0.0909090909090909,1.0,0.749953193612143,0.7,31,0.9990349099841788,7,0,7,431.133,86.00100000000003,9,0.0,-1.0,0.0,True
CCMSLIB00005721270,CCMSLIB00000847763,0.0833333333333333,1.0,0.7568697801446058,0.8095238095238095,22,0.1703156115303352,5,2,3,299.164,68.06200000000001,12,0.5,1.0,0.0,False
CCMSLIB00000848313,CCMSLIB00000847004,0.1428571428571428,1.0,0.5945907431950843,1.0,30,0.9991748846058972,9,7,2,419.097,15.995000000000005,9,0.8571428571428571,4.166666666666667,1.8996027342607429,True
CCMSLIB00000847474,CCMSLIB00000847476,0.0,0.5,0.4787560175464247,0.2222222222222222,19,0.2621804766608345,37,15,22,259.096,30.011000000000024,64,0.6,3.6666666666666665,0.1124821154200631,True
CCMSLIB00000854236,CCMSLIB00000855455,0.0,0.6,0.5420954390387879,0.2857142857142857,22,0.6917175964860415,40,6,34,307.154,14.01600000000002,93,0.1666666666666666,1.0,0.0,True
CCMSLIB00000846368,CCMSLIB00000845044,1.0,1.0,0.7572421607433061,1.0,16,0.4262221447950634,28,21,7,243.042,15.994999999999976,53,0.5238095238095238,2.272727272727273,0.1781302576681602,True
CCMSLIB00000849955,CCMSLIB00000853669,0.125,1.0,0.826118137547958,0.9130434782608696,24,0.7701011615695365,4,4,0,339.107,30.010999999999967,5,0.75,2.333333333333333,0.3243720864865315,True
CCMSLIB00005721614,CCMSLIB00000847365,0.0,0.0,0.1843194593754671,0.1363636363636363,23,0.3861584136541653,37,8,29,321.243,58.005,98,0.375,4.0,0.0292889821818939,False
CCMSLIB00000849087,CCMSLIB00000849088,0.0666666666666666,1.0,0.6973545121176126,0.9487179487179488,79,0.9133286277001066,52,2,50,1131.52,16.0,97,1.0,3.0,0.0167202106436356,True
CCMSLIB00000848010,CCMSLIB00000845128,0.0,0.8888888888888888,0.648064101844134,0.875,25,0.8881263548458482,24,23,1,349.092,33.96100000000001,40,0.8695652173913043,20.9,1.3848576122228964,True
CCMSLIB00005721723,CCMSLIB00000848682,0.0,0.5909090909090909,0.6129573720372326,0.8888888888888888,37,0.8210041905046487,38,15,23,526.302,14.01400000000001,69,0.7333333333333333,32.45454545454545,0.9405083276641094,False
CCMSLIB00000850108,CCMSLIB00000848754,0.0,0.782608695652174,0.4472209907769897,0.9814814814814816,55,0.7408242907216749,62,0,62,785.505,294.0949999999999,99,0.0,-1.0,0.0,True
CCMSLIB00000848337,CCMSLIB00000848138,0.0,0.5,0.3124992563520741,0.15,21,0.0536100979581441,10,8,2,291.086,15.995000000000005,42,1.0,3.625,0.7618042339220165,True
CCMSLIB00000850695,CCMSLIB00000853715,0.0,0.6666666666666666,0.6816446326390948,0.9090909090909092,34,0.9958450892402636,11,0,11,475.233,15.995000000000005,14,0.0,-1.0,0.0,True
CCMSLIB00000855712,CCMSLIB00000855237,0.0,0.0909090909090909,0.0299519942317273,0.1111111111111111,28,0.1263472770855472,4,0,4,386.233,157.08499999999998,11,0.0,-1.0,0.0,True
CCMSLIB00000847491,CCMSLIB00000848234,0.0,0.8888888888888888,0.8223019670139513,0.8461538461538461,40,0.355837870243721,33,0,33,565.155,14.016000000000076,45,0.0,-1.0,0.0,True
CCMSLIB00000847785,CCMSLIB00000848643,0.0,0.5714285714285714,0.3881354883880722,0.3333333333333333,16,0.0265916938815099,7,1,6,217.049,100.05299999999995,52,1.0,1.0,0.0,True
CCMSLIB00000847961,CCMSLIB00005721381,0.0,0.5333333333333333,0.539373181548082,0.967741935483871,32,0.6148998661952981,52,16,36,451.123,15.996000000000038,76,1.0,57.4375,0.5848628889023596,True
CCMSLIB00000851867,CCMSLIB00000854245,1.0,1.0,0.7917076949208396,1.0,66,0.6466105306491129,48,12,36,941.51,15.995000000000005,100,0.9166666666666666,30.181818181818183,0.7099659974193109,True
CCMSLIB00000847751,CCMSLIB00000849041,0.0,0.6666666666666666,0.506992032724509,0.72,26,0.4843257432844606,12,0,12,357.133,162.05300000000005,25,0.0,-1.0,0.0,True
CCMSLIB00000845729,CCMSLIB00000846755,0.0,0.7222222222222222,0.4859109386500353,0.4736842105263157,39,0.5870844191619704,14,10,4,560.317,199.121,17,1.0,22.0,4.709915552627098,True
CCMSLIB00000849014,CCMSLIB00000847486,0.0,0.5833333333333334,0.5809045679391973,0.8636363636363636,23,0.2763152927651439,8,5,3,317.065,14.01600000000002,16,0.8,7.25,0.4228849248513167,True
CCMSLIB00000846428,CCMSLIB00000848455,0.0,0.7,0.7849092957062574,0.75,21,0.7191256366241078,6,3,3,287.055,15.995000000000005,11,1.0,26.666666666666668,0.6106071814280234,True
CCMSLIB00000848804,CCMSLIB00005721670,0.0,0.9090909090909092,0.8345505644985783,0.8636363636363636,23,0.7193584471409465,15,8,7,319.081,15.996999999999955,88,0.625,14.4,0.2713921217487345,True
CCMSLIB00005721868,CCMSLIB00000845219,0.0666666666666666,1.0,0.6545424663682483,0.6923076923076923,27,0.067624885470895,1,1,0,387.093,14.014999999999986,9,1.0,1.0,0.0,False
CCMSLIB00005723184,CCMSLIB00005722900,0.0,0.875,0.6343315972927795,0.5,19,0.9385262185697004,4,4,0,259.097,30.010000000000048,5,1.0,4.25,0.8133822122352331,False
CCMSLIB00000848846,CCMSLIB00000845960,0.25,1.0,0.4546688876815324,0.9523809523809524,43,0.9974854913928968,4,0,4,611.16,132.043,4,0.0,-1.0,0.0,True
CCMSLIB00000848655,CCMSLIB00000845056,0.0,0.5833333333333334,0.3625396956521634,0.0,31,0.9980445022796648,7,0,7,433.113,15.995000000000005,10,0.0,-1.0,0.0,True
CCMSLIB00000848033,CCMSLIB00000847830,0.0,0.2352941176470588,0.4948765901761952,0.6,31,0.1815418621269335,34,7,27,427.211,43.99000000000001,62,1.0,16.571428571428573,0.4016631691872041,True
CCMSLIB00000854255,CCMSLIB00000851005,0.0,0.9,0.7312337920292792,0.8181818181818182,23,0.3233843616454128,46,6,40,319.227,13.979000000000042,99,0.3333333333333333,2.5,0.0151927009775381,True
CCMSLIB00000847730,CCMSLIB00000852969,0.0,0.0,0.0,0.0,32,0.0,0,0,0,462.168,85.06399999999996,48,0.0,-1.0,0.0,True
CCMSLIB00000855394,CCMSLIB00000853452,0.0,0.6,0.5099300087338987,0.8095238095238095,22,0.9716653232129392,42,33,9,305.102,14.01600000000002,58,0.6060606060606061,3.35,0.5948447438669188,True
CCMSLIB00000845594,CCMSLIB00000846117,0.0,0.4,0.4777441524095722,0.9473684210526316,20,0.9837535362025536,8,4,4,273.075,14.01600000000002,13,1.0,3.75,1.6188266892973338,True
CCMSLIB00000847618,CCMSLIB00000847397,0.0,0.8,0.5647332523729135,0.5192307692307693,53,0.9993833188787248,10,0,10,757.255,30.00999999999999,14,0.0,-1.0,0.0,True
CCMSLIB00005721306,CCMSLIB00000845838,0.0,0.3888888888888889,0.1231695026413777,0.1052631578947368,39,0.9870838233611268,6,0,6,551.18,162.048,13,0.0,-1.0,0.0,False
CCMSLIB00000848249,CCMSLIB00000845329,0.0,0.6666666666666666,0.2939797468956659,0.40625,33,0.973934734840136,4,0,4,465.102,162.053,12,0.0,-1.0,0.0,True
CCMSLIB00000856089,CCMSLIB00000855665,0.3333333333333333,1.0,0.7756199314729624,0.9428571428571428,36,0.3004792821257385,11,9,2,499.207,43.99000000000001,12,0.7777777777777778,1.8571428571428568,0.1732867951399863,True
CCMSLIB00005721798,CCMSLIB00000847500,0.0,0.4,0.1718012849691578,0.75,21,0.7832543947249786,3,0,3,291.087,132.041,7,0.0,-1.0,0.0,False
CCMSLIB00000851059,CCMSLIB00005721445,0.0,0.4166666666666667,0.3903842222740351,0.7083333333333334,25,0.2645167701832491,6,0,6,343.118,14.014999999999986,100,0.0,-1.0,0.0,True
CCMSLIB00000855348,CCMSLIB00000852758,0.1111111111111111,1.0,0.6558331837998016,0.6956521739130435,24,0.9933226121659392,14,2,12,326.186,115.043,17,1.0,1.0,0.0,True
CCMSLIB00005721597,CCMSLIB00000849060,0.0909090909090909,1.0,0.6853728783571551,0.9642857142857144,29,0.0596653974883774,21,1,20,401.125,14.012999999999977,49,0.0,-1.0,0.0,False
CCMSLIB00000845349,CCMSLIB00005721287,0.0,0.0,0.0,0.0,22,0.0,0,0,0,303.159,120.02300000000002,13,0.0,-1.0,0.0,True
CCMSLIB00000845164,CCMSLIB00000847015,0.0,0.0,0.0,0.0,15,0.0028505215197116,3,0,3,207.065,68.06299999999999,55,0.0,-1.0,0.0,True
CCMSLIB00000848378,CCMSLIB00000849013,1.0,1.0,0.6359417920028055,1.0,20,0.0415462946881563,2,0,2,271.06,30.00999999999999,6,0.0,-1.0,0.0,True
CCMSLIB00000848128,CCMSLIB00000846550,0.125,1.0,0.7790609030630484,0.8125,17,0.143800584225329,4,1,3,223.075,30.011000000000024,12,0.0,-1.0,0.0,True
CCMSLIB00000848668,CCMSLIB00000847186,0.0,0.5882352941176471,0.4180626356778652,0.4230769230769231,53,0.9986314206881812,7,0,7,757.218,162.053,8,0.0,-1.0,0.0,True
CCMSLIB00005722357,CCMSLIB00005721911,1.0,1.0,0.528266581855049,1.0,44,0.3808991030132248,9,1,8,639.358,156.0780000000001,31,1.0,22.0,0.4016211812823863,False
CCMSLIB00005721228,CCMSLIB00000848164,0.1428571428571428,1.0,0.849591214261089,0.8260869565217391,24,0.9668589207582636,5,5,0,339.108,15.993999999999971,8,1.0,1.8,0.2027325540540822,False
CCMSLIB00000848301,CCMSLIB00000848636,0.0,0.1,0.0303175842357159,0.45,21,0.902767012367051,23,0,23,291.086,132.04199999999997,40,0.0,-1.0,0.0,True
CCMSLIB00000850489,CCMSLIB00000851841,0.0,0.4166666666666667,0.438534253471497,0.7777777777777778,37,0.1413473861763375,33,11,22,517.28,14.014999999999986,96,0.0909090909090909,51.0,0.052575914904425,True
CCMSLIB00000849089,CCMSLIB00000845947,0.5,1.0,0.3761604924261391,0.95,21,0.959518677926072,8,4,4,289.07,14.01600000000002,30,1.0,5.5,0.8605448239171126,True
CCMSLIB00005721397,CCMSLIB00000847225,0.0,0.0,0.0,0.0,44,0.0,0,0,0,625.213,146.05700000000002,19,0.0,-1.0,0.0,False
CCMSLIB00000848861,CCMSLIB00000847032,0.0,0.3333333333333333,0.063314897307868,0.5483870967741935,32,0.9997948270590944,3,0,3,449.108,13.978999999999983,4,0.0,-1.0,0.0,True
CCMSLIB00000845116,CCMSLIB00000846563,0.0,0.5238095238095238,0.4720356127468219,0.5813953488372093,44,0.2144715016831902,24,10,14,639.358,156.07900000000006,50,1.0,34.0,1.1777016900943078,True
CCMSLIB00005721467,CCMSLIB00000848954,0.0,0.9166666666666666,0.7290939948248478,0.71875,33,0.1084493913929216,3,1,2,465.103,152.01000000000005,11,1.0,6.0,0.1260267601018082,False
CCMSLIB00000848217,CCMSLIB00000848682,1.0,1.0,0.5625147231658426,1.0,37,0.9003692239453213,52,13,39,526.301,14.014999999999986,100,0.6923076923076923,35.77777777777778,0.6177884419794939,True
CCMSLIB00000847819,CCMSLIB00000847787,0.0,0.7,0.6692847884033772,0.7647058823529411,18,0.987933075237468,14,8,6,241.086,15.995000000000005,25,0.75,3.0,0.7031118647475901,True
CCMSLIB00000853599,CCMSLIB00000851254,0.0,0.6666666666666666,0.6302546095121322,0.9375,17,0.0787670302770812,22,9,13,237.185,15.995000000000005,56,0.1111111111111111,6.0,0.0162787104280316,True
CCMSLIB00005722830,CCMSLIB00005721911,0.3333333333333333,1.0,0.9179084723803034,0.9807692307692308,53,0.5685358968194114,5,1,4,765.426,30.00999999999999,12,1.0,4.0,0.1155245300933242,False
CCMSLIB00000847387,CCMSLIB00000847759,0.0,0.9090909090909092,0.6987413029372275,0.5,21,0.4257023170052633,44,25,19,295.117,14.015999999999964,99,0.88,5.818181818181818,0.5193782125276392,True
CCMSLIB00000845056,CCMSLIB00000845060,0.0,0.3333333333333333,0.133632297189663,0.0,32,0.9982658682499695,3,0,3,449.108,146.05699999999996,8,0.0,-1.0,0.0,True
CCMSLIB00000847789,CCMSLIB00000847144,0.0,0.7,0.6775255396875691,0.8,21,0.5485328339334078,16,11,5,289.07,15.995000000000005,49,0.8181818181818182,14.555555555555555,0.680531472762693,True
CCMSLIB00000848089,CCMSLIB00000845675,0.0,0.4545454545454545,0.6213605342023292,0.8888888888888888,28,0.3751455781564271,36,0,36,395.133,146.03699999999998,81,0.0,-1.0,0.0,True
CCMSLIB00000848079,CCMSLIB00000848931,0.0,0.9,0.628450795201427,0.5909090909090909,23,0.9630570232438656,23,14,9,319.081,14.015999999999964,33,0.8571428571428571,3.4166666666666665,1.0266845084467755,True
CCMSLIB00000846878,CCMSLIB00000848866,0.0,0.4,0.4648659422327071,0.4864864864864865,38,0.9278811222863736,72,19,53,535.144,30.010999999999967,98,0.6842105263157895,136.76923076923077,0.2904417597662701,True
CCMSLIB00000846916,CCMSLIB00000846322,0.0909090909090909,1.0,0.7506356357984044,0.8,31,0.9980293338769948,5,0,5,433.113,86.00000000000006,8,0.0,-1.0,0.0,True
CCMSLIB00000845831,CCMSLIB00000853587,0.0,0.5882352941176471,0.5973502205646787,0.85,41,0.4617999587824943,45,28,17,571.349,15.995000000000005,50,0.8928571428571429,3.04,0.96529658122713,True
CCMSLIB00000850072,CCMSLIB00005721152,0.125,1.0,0.8387919919546905,0.8157894736842105,39,0.9636917932814176,13,7,6,551.176,15.993999999999916,31,0.8571428571428571,3.5,0.4066102093725816,True
CCMSLIB00000845758,CCMSLIB00005721281,0.0,0.8666666666666667,0.7664493567399397,0.7666666666666667,31,0.3553142454460914,26,3,23,435.128,162.055,97,1.0,13.0,0.083618101529489,True
CCMSLIB00000854975,CCMSLIB00000847508,0.1428571428571428,1.0,0.863778263066863,0.8695652173913043,24,0.9668531838861952,5,5,0,339.107,15.994999999999948,5,0.8,2.0,0.3243720864865315,True
CCMSLIB00000848843,CCMSLIB00000852883,1.0,1.0,0.4035270119668055,1.0,27,0.7095912243376425,12,6,6,391.123,14.01600000000002,30,0.8333333333333334,5.8,0.6665158035821251,True
CCMSLIB00000849071,CCMSLIB00000848913,0.0,0.2352941176470588,0.5549408733904267,0.6190476190476191,43,0.0571246169431007,13,7,6,663.023,30.00999999999999,26,0.2857142857142857,3.0,0.059853592227511,True
CCMSLIB00000850626,CCMSLIB00000852158,0.0,0.7272727272727273,0.5384087398142512,0.1785714285714285,29,0.6107880934837442,40,24,16,409.222,15.995000000000005,93,0.1666666666666666,3.25,0.085513883651343,True
CCMSLIB00000846155,CCMSLIB00000845189,0.0,0.8235294117647058,0.3103598349396338,0.1219512195121951,42,0.9964121920406708,4,0,4,595.165,162.053,5,0.0,-1.0,0.0,True
CCMSLIB00005722519,CCMSLIB00005722788,0.0,0.8888888888888888,0.6875495574521323,0.9117647058823528,35,0.3897804279264649,22,4,18,511.275,14.014999999999986,30,1.0,18.75,1.1107407131336229,False
CCMSLIB00000847742,CCMSLIB00000845895,0.0,0.6,0.5507671333446181,0.7,21,0.099300093776763,10,2,8,295.117,84.05799999999999,29,1.0,2.0,0.0438975288479181,True
CCMSLIB00000848250,CCMSLIB00000852867,0.0,0.5882352941176471,0.3947210306591024,0.1111111111111111,37,0.9209616713740298,13,7,6,529.155,14.016000000000076,31,0.8571428571428571,10.0,1.1155318652755368,True
CCMSLIB00005721165,CCMSLIB00000845378,0.0,0.3333333333333333,0.5450118061905611,0.5128205128205128,40,0.8004150109898841,54,23,31,565.157,30.007999999999925,98,0.7391304347826086,71.6470588235294,0.7159977737593528,False
CCMSLIB00005721678,CCMSLIB00000848832,0.0,0.8125,0.535187884658952,0.0952380952380952,22,0.8120488384948467,3,2,1,297.149,15.993999999999971,5,1.0,2.0,2.079441541679836,False
CCMSLIB00000848216,CCMSLIB00000846041,0.1111111111111111,1.0,0.7230123641044878,0.8,31,0.9999062875742114,3,2,1,433.113,15.995000000000005,4,1.0,6.5,1.5663983838117268,True
CCMSLIB00000848640,CCMSLIB00000848529,0.0,0.6,0.2125852775434398,0.2727272727272727,34,0.7326996326767268,43,18,25,481.316,15.995000000000005,99,0.6666666666666666,13.416666666666666,0.1754917411988788,True
CCMSLIB00000848529,CCMSLIB00000845447,0.0,0.9375,0.9161041246655476,0.9705882352941176,35,0.736675978817237,44,19,25,497.311,14.015000000000043,98,0.7894736842105263,21.466666666666665,0.389792910908353,True
